aŭtokton,原住
aŭtoliz,自解
aŭtomaci,动ᴬᶜ
aŭtomat,动ᴬ
aŭtomobil,车ᴬᴹ
aŭtomorfi,自形
aŭtonom,自治
aŭtonomi,自治ᴬᴵ
aŭtor,作ᴬ
aŭtoritat,权ᴬ
aŭtun,秋
babil,聊
babord,船左
bac,响ᴮ
bacil,菌ᴮᶜ
bagatel,琐
bagaĝ,行李
bagn,牢ᴮ
bajonet,刺刀
bajt,字节
bak,烤
bakalaŭr,学士
bakter,菌ᴮᴬ
bakteri,菌ᴮ
baktericid,菌杀ᴮ
bakteriofag,菌吞
bakteriofaĝ,菌吞ᴮᴳ̂
bakteriolog,菌学家ᴮ
bakteriologi,菌学ᴮ
baktri,双驼
bal,舞ᴮ
bala,扫
balan,藤壶
balanc,摇ᴮ
balanit,藤壶炎
balast,压舱
balat,木ᴮᵀ
balbut,结巴
baldaŭ,将ᴮ
balen,鲸
balenopter,鲸翅
balg,风箱
balist,弓炮
balistik,弹道
balkon,阳台
balon,球ᴮᴺ
balot,票ᴮᴬ
balote,草ᴮᴸ
balte,带ᴮᴸ
balustrad,栏ᴮᴸ
balzam,膏ᴮ
balzamin,花ᴮ
balzamit,菊ᴮᶻ
bambu,竹
bambuz,竹ᴮᶻ
ban,浴
banal,俗ᴮ
banan,蕉
band,队ᴮ
bandaĝ,包ᴮᴺ
banderol,带ᴮᴿ
bandolier,带ᴮᴺ
bangi,藻ᴮ
bangific,藻藻ᴮ
bangiofic,藻藻ᴮᴼ
banjan,木ᴮᴺ
bank,银ᴮ
banked,宴ᴮ
bankrot,破产
bant,结ᴮ
bantam,鸟ᴮᴺ
banus,督ᴮ
baobab,木ᴮᴮ
bapt,洗ᴮ
bar,障
barak,棚ᴮᴿ
barakt,挣
barb,胡
barbaden,西番莲
barbar,蛮
barbare,草ᴮᴮ
barbarism,蛮主义
barbi,鱼ᴮᴮ
barbir,剃ᴮ
bard,诗ᴮ
barel,桶ᴮ
bari,金ᴮᴬ
barier,栏ᴮ
barikad,路障
barit,重晶石
bariton,男中音
bark,舶
barograf,压记
barometr,压计ᴮ
baron,爵
baroskop,压镜
bart,鲸须
barĝ,驳ᴮ
bas,低
basbal,棒球
basen,盆ᴮ
bask,摆ᴮ
baskul,跷ᴮ
bastard,庶
bastion,棱堡
baston,棒
bat,打
batal,战ᴮ
batalion,营ᴮᵀ
batat,甘薯
bateri,电ᴮ
batometr,深计
batometri,深测
batrak,蛙ᴮ
batu,围猎
bav,口水
baz,基
bazament,基ᴮᴹ
bazar,市ᴮᶻ
